,training_loss,val_loss
0,1284.7792215572288,1596.6296741121355
1,1092.0409607801523,1471.6952783195309
2,1091.2775763165705,1501.6837623487295
3,826.8263514626775,1407.9941190274142
4,693.7083929684893,1368.445213486074
5,629.319810846593,1351.323871714829
6,595.4633321227367,1344.5942890925671
7,577.7149631643961,1343.0368353818728
8,567.3252612175584,1342.8494912929611
9,562.5766347593836,1342.6656835503636
10,559.5472186891739,1342.5719540163552
11,557.4161637590591,1342.5533322381946
12,1.8911952477693559,4.540183663368225
13,3.318909629583359,4.4211249351501465
14,2.3728655552864075,4.205564498901367
15,3.2343033850193024,4.443544149398804
16,2.0389837229251864,4.187578439712524
17,1.609487537164241,4.226726770401001
18,1.2965282886475324,4.155792713165283
19,1.1100927440356463,4.338846206665039
20,0.9103457462321967,4.573748826980591
21,0.5720715377596207,4.558666706085205
22,0.48166174821555613,4.623800992965698
23,0.4707391459587961,4.570694208145142
24,0.27805459493305534,4.591718673706055
